Date      | ID    | Username           | Total Money  |Total Distance|  Today Money | Today Distance

2025-04-07|       |                    |     17,706 $ |     1,775 km |         129 $ |     21 km
2025-04-09|       |                    |     17,787 $ |     1,803 km |          86 $ |     28 km
2025-04-10|       |                    |     17,453 $ |     1,854 km |        -283 $ |     50 km
2025-04-12|       |                    |     18,509 $ |     1,972 km |       1,077 $ |    117 km

2025-06-06|       |                    |     17,877 $ |     1,984 km |        -632 $ |     12 km
2025-06-16|       |                    |     15,560 $ |     2,053 km |      -2,219 $ |     65 km
2025-06-22|       |                    |     15,347 $ |     2,096 km |        -213 $ |     43 km

2025-07-08|       |                    |     14,026 $ |     2,214 km |          22 $ |     56 km
2025-07-09|       |                    |      9,842 $ |     2,332 km |      -4,185 $ |    115 km
2025-07-11|       |                    |      8,981 $ |     2,406 km |        -827 $ |     73 km
2025-07-13|       |                    |      9,004 $ |     2,409 km |          23 $ |      3 km
2025-07-14|       |                    |      9,192 $ |     2,429 km |         134 $ |     10 km
2025-07-21|       |                    |      9,203 $ |     2,439 km |           0 $ |      0 km
2025-07-22|       |                    |      9,548 $ |     2,492 km |         364 $ |     52 km
2025-07-23|       |                    |      9,353 $ |     2,516 km |        -166 $ |     24 km
2025-07-24|       |                    |      8,848 $ |     2,585 km |        -415 $ |     69 km

2025-10-01|       |                    |      8,806 $ |     2,585 km |           0 $ |      0 km
2025-10-08|       |                    |      8,886 $ |     2,617 km |         130 $ |     30 km
2025-10-09|       |                    |      9,886 $ |     2,662 km |       1,011 $ |     45 km
2025-10-10|       |                    |      9,887 $ |     2,662 km |           1 $ |      0 km
2025-10-13|       |                    |      9,798 $ |     2,669 km |         -83 $ |      6 km
2025-10-14|       |                    |      9,824 $ |     2,682 km |          26 $ |     13 km
2025-10-15|       |                    |     10,568 $ |     2,743 km |         744 $ |     61 km
2025-10-16|       |                    |     10,677 $ |     2,770 km |          94 $ |     23 km
2025-10-18|       |                    |     10,647 $ |     2,782 km |           9 $ |     12 km
2025-10-19|       |                    |     10,528 $ |     2,785 km |         -74 $ |      0 km
2025-10-20|       |                    |      9,351 $ |     2,872 km |      -1,187 $ |     85 km
2025-10-21|       |                    |     10,059 $ |     2,912 km |         702 $ |     39 km
2025-10-23|       |                    |      7,637 $ |     3,020 km |      -2,429 $ |    106 km
2025-10-27|       |                    |      7,390 $ |     3,045 km |          14 $ |     12 km

2025-11-02|       |                    |      7,458 $ |     3,061 km |          71 $ |     15 km
2025-11-15|       |                    |      7,852 $ |     3,118 km |         410 $ |     55 km

Monthly Summary
2025-10   |       |                    |       2,731 $ |      432 km | avg     303 $ | avg   39 km
2025-11   |       |                    |         481 $ |       70 km | avg     240 $ | avg   35 km
Total     | 41280 | noxcho             |       5,070 $ |    2,525 km | avg     267 $ | avg   74 km

----------------------------------------------------------------------------------------------------

2025-07-22| 47716 | rambomami          |      7,953 $ |        38 km |      -2,547 $ |     38 km
2025-07-23|       |                    |      9,338 $ |       104 km |       1,385 $ |     66 km
2025-07-24|       |                    |      8,794 $ |       144 km |        -547 $ |     39 km
2025-07-26|       |                    |      8,401 $ |       163 km |        -374 $ |     19 km

2025-08-13|       |                    |      6,874 $ |       214 km |         368 $ |     16 km
2025-08-14|       |                    |      7,129 $ |       257 km |         244 $ |     41 km
2025-08-15|       |                    |     10,360 $ |       477 km |       3,244 $ |    217 km
2025-08-16|       |                    |     12,125 $ |       662 km |       1,763 $ |    185 km
2025-08-17|       |                    |     23,081 $ |       946 km |      10,956 $ |    284 km
2025-08-18|       |                    |     23,087 $ |       974 km |         -28 $ |     27 km
2025-08-19|       |                    |     13,355 $ |     1,488 km |      -3,024 $ |    242 km
2025-08-20|       |                    |     11,548 $ |     1,658 km |      -1,668 $ |    166 km
2025-08-21|       |                    |     12,038 $ |     1,679 km |         500 $ |     19 km
2025-08-24|       |                    |      8,973 $ |     1,882 km |      -1,053 $ |     68 km
2025-08-25|       |                    |      8,950 $ |     1,923 km |         204 $ |     40 km
2025-08-26|       |                    |      6,876 $ |     2,059 km |      -2,084 $ |    134 km
2025-08-27|       |                    |     19,815 $ |     2,156 km |      12,930 $ |     95 km
2025-08-28|       |                    |     23,003 $ |     2,200 km |       3,188 $ |     44 km

2025-09-01|       |                    |     29,245 $ |     2,889 km |       8,479 $ |    531 km
2025-09-02|       |                    |     42,721 $ |     3,271 km |      13,476 $ |    382 km
2025-09-04|       |                    |     43,280 $ |     3,312 km |         704 $ |     41 km
2025-09-09|       |                    |     43,574 $ |     3,345 km |         867 $ |     33 km
2025-09-13|       |                    |     45,063 $ |     3,403 km |       1,505 $ |     56 km
2025-09-20|       |                    |     45,129 $ |     3,458 km |        -200 $ |     50 km

2025-12-14|       |                    |      5,138 $ |     3,462 km |     -39,991 $ |      4 km
2025-12-16|       |                    |      5,197 $ |     3,467 km |          73 $ |      4 km
2025-12-17|       |                    |      5,316 $ |     3,473 km |         110 $ |      6 km

Monthly Summary
2025-08   |       |                    |      33,397 $ |    1,578 km | avg   3,711 $ | avg  113 km
Total     | 47716 | rambomami          |      59,996 $ |    2,847 km | avg   3,529 $ | avg  105 km

----------------------------------------------------------------------------------------------------

2025-09-26| 48082 | lolxerox93         |      1,841 $ |       173 km |      -8,714 $ |    170 km
2025-09-27|       |                    |      5,159 $ |       704 km |       3,258 $ |    531 km
2025-09-28|       |                    |      2,335 $ |       835 km |      -2,843 $ |    130 km
2025-09-30|       |                    |      4,360 $ |     1,096 km |       2,007 $ |    259 km

2025-10-01|       |                    |      1,395 $ |     1,342 km |      -3,003 $ |    244 km
2025-10-02|       |                    |      3,771 $ |     1,493 km |       2,323 $ |    145 km
2025-10-30|       |                    |      3,628 $ |     1,497 km |        -143 $ |      4 km

2025-11-03|       |                    |      4,857 $ |     1,580 km |       1,232 $ |     82 km

2025-12-24|       |                    |      4,719 $ |     1,598 km |         409 $ |     15 km

----------------------------------------------------------------------------------------------------

2025-12-24| 49027 | mustafabezer       |        753 $ |         9 km |      -9,747 $ |      9 km
2025-12-25|       |                    |      7,126 $ |       289 km |       6,401 $ |    280 km
2025-12-26|       |                    |     14,612 $ |       724 km |       7,403 $ |    430 km
2025-12-27|       |                    |     11,716 $ |     1,084 km |      -2,896 $ |    360 km
2025-12-28|       |                    |     13,505 $ |     1,219 km |       1,711 $ |    129 km
2025-12-29|       |                    |     19,479 $ |     1,893 km |         212 $ |    531 km
2025-12-30|       |                    |      8,483 $ |     1,990 km |     -11,027 $ |     96 km

2026-01-01|       |                    |      8,822 $ |     2,032 km |         798 $ |     37 km
2026-01-02|       |                    |     11,470 $ |     2,157 km |       2,495 $ |    121 km
2026-01-03|       |                    |     10,604 $ |     2,167 km |        -361 $ |      9 km
2026-01-05|       |                    |     13,934 $ |     2,502 km |       3,198 $ |    328 km
2026-01-06|       |                    |     52,885 $ |     2,565 km |      38,931 $ |     59 km
2026-01-08|       |                    |     34,168 $ |     2,745 km |         820 $ |     95 km
2026-01-09|       |                    |     32,594 $ |     2,820 km |      -1,589 $ |     72 km
2026-01-15|       |                    |     28,135 $ |     2,929 km |      -4,250 $ |    104 km
2026-01-19|       |                    |     26,549 $ |     2,967 km |      -1,104 $ |     34 km
2026-01-23|       |                    |     26,704 $ |     2,981 km |          98 $ |      8 km
2026-01-24|       |                    |     27,245 $ |     3,077 km |         500 $ |     95 km
2026-01-25|       |                    |     26,456 $ |     3,154 km |        -784 $ |     77 km

2026-03-03|       |                    |     26,670 $ |     3,172 km |         214 $ |     16 km
2026-03-04|       |                    |     26,809 $ |     3,196 km |         132 $ |     23 km
2026-03-06|       |                    |     26,974 $ |     3,291 km |         165 $ |     94 km
2026-03-07|       |                    |     27,516 $ |     3,418 km |         476 $ |    123 km
2026-03-08|       |                    |     28,614 $ |     3,543 km |       1,128 $ |    123 km
2026-03-10|       |                    |     28,609 $ |     3,605 km |          22 $ |     47 km
2026-03-11|       |                    |     28,738 $ |     3,646 km |         150 $ |     41 km
2026-03-12|       |                    |     28,788 $ |     3,653 km |           0 $ |      0 km
2026-03-17|       |                    |     29,226 $ |     3,710 km |         359 $ |     51 km
2026-03-18|       |                    |     29,393 $ |     3,763 km |         168 $ |     51 km
2026-03-21|       |                    |     29,654 $ |     3,800 km |         308 $ |     26 km
2026-03-27|       |                    |     32,988 $ |     4,023 km |       3,334 $ |    223 km
2026-03-28|       |                    |      5,081 $ |     4,469 km |     -27,845 $ |    446 km
2026-03-29|       |                    |      5,710 $ |     4,540 km |         609 $ |     63 km
2026-03-31|       |                    |      3,589 $ |     4,593 km |      -2,197 $ |     46 km

2026-04-05|       |                    |      4,870 $ |     4,687 km |       1,248 $ |     92 km
2026-04-10|       |                    |      5,151 $ |     4,726 km |         180 $ |     27 km
2026-04-11|       |                    |      5,303 $ |     4,763 km |         174 $ |     32 km
2026-04-12|       |                    |      5,504 $ |     4,833 km |         250 $ |     64 km
2026-04-25|       |                    |      3,412 $ |     4,945 km |      -1,493 $ |    107 km
2026-04-26|       |                    |      3,022 $ |     4,957 km |        -437 $ |      9 km

2026-05-16|       |                    |      3,135 $ |     5,041 km |         118 $ |     84 km
2026-05-17|       |                    |      2,786 $ |     5,053 km |        -431 $ |      5 km

2026-06-06|       |                    |      3,597 $ |     5,171 km |         804 $ |    117 km
2026-06-13|       |                    |      3,699 $ |     5,204 km |         -24 $ |     22 km
2026-06-20|       |                    |      4,001 $ |     5,236 km |         229 $ |     28 km
2026-06-24|       |                    |      4,083 $ |     5,242 km |           0 $ |      0 km

2026-07-05|       |                    |      4,132 $ |     5,245 km |           0 $ |      0 km

Monthly Summary
2026-01   |       |                    |      46,840 $ |    1,039 km | avg   6,691 $ | avg   87 km
2026-03   |       |                    |       7,065 $ |    1,373 km | avg     589 $ | avg   98 km
2026-07   |       |                    |           0 $ |        0 km |           0 $ |        0 km
Total     | 49027 | mustafabezer       |      72,635 $ |    4,834 km | avg   2,421 $ | avg  110 km

----------------------------------------------------------------------------------------------------

2024-07-15| 39882 | vartolu_sadettin   |          0 $ |         0 km |           0 $ |     82 km
2024-07-16|       |                    |          0 $ |         0 km |           0 $ |    103 km
2024-07-19|       |                    |          0 $ |         0 km |           0 $ |    106 km

2024-08-24|       |                    |          0 $ |         0 km |           0 $ |    132 km
2024-08-25|       |                    |          0 $ |         0 km |           0 $ |    214 km
2024-08-26|       |                    |          0 $ |         0 km |           0 $ |    107 km
2024-08-27|       |                    |          0 $ |         0 km |           0 $ |    159 km
2024-08-28|       |                    |          0 $ |         0 km |           0 $ |    102 km
2024-08-29|       |                    |          0 $ |         0 km |           0 $ |    131 km
2024-08-30|       |                    |          0 $ |         0 km |           0 $ |    289 km
2024-08-31|       |                    |          0 $ |         0 km |           0 $ |    166 km

2024-11-14|       |                    |          0 $ |         0 km |           0 $ |    156 km
2024-11-15|       |                    |          0 $ |         0 km |           0 $ |    383 km
2024-11-16|       |                    |          0 $ |         0 km |           0 $ |    358 km
2024-11-17|       |                    |          0 $ |         0 km |           0 $ |    457 km
2024-11-21|       |                    |          0 $ |         0 km |           0 $ |    412 km
2024-11-22|       |                    |          0 $ |         0 km |           0 $ |    271 km
2024-11-23|       |                    |          0 $ |         0 km |           0 $ |    177 km
2024-11-27|       |                    |          0 $ |         0 km |           0 $ |     79 km
2024-11-28|       |                    |          0 $ |         0 km |           0 $ |    100 km
2024-11-29|       |                    |          0 $ |         0 km |           0 $ |     72 km
2024-11-30|       |                    |          0 $ |         0 km |           0 $ |    265 km

2024-12-01|       |                    |          0 $ |         0 km |           0 $ |    150 km
2024-12-05|       |                    |          0 $ |         0 km |           0 $ |    120 km
2024-12-16|       |                    |          0 $ |         0 km |           0 $ |    120 km
2024-12-17|       |                    |          0 $ |         0 km |           0 $ |     75 km
2024-12-18|       |                    |          0 $ |         0 km |           0 $ |     81 km
2024-12-19|       |                    |          0 $ |         0 km |           0 $ |    110 km
2024-12-20|       |                    |          0 $ |         0 km |           0 $ |    240 km
2024-12-21|       |                    |          0 $ |         0 km |           0 $ |    530 km
2024-12-22|       |                    |          0 $ |         0 km |           0 $ |    208 km
2024-12-24|       |                    |          0 $ |         0 km |           0 $ |    184 km
2024-12-25|       |                    |          0 $ |         0 km |           0 $ |    142 km
2024-12-26|       |                    |          0 $ |         0 km |           0 $ |    241 km
2024-12-28|       |                    |          0 $ |         0 km |           0 $ |    245 km
2024-12-29|       |                    |          0 $ |         0 km |           0 $ |    314 km
2024-12-31|       |                    |          0 $ |         0 km |           0 $ |    155 km

2025-01-02|       |                    |          0 $ |         0 km |           0 $ |    449 km
2025-01-03|       |                    |          0 $ |         0 km |           0 $ |    293 km
2025-01-06|       |                    |          0 $ |         0 km |           0 $ |    110 km
2025-01-07|       |                    |          0 $ |         0 km |           0 $ |    140 km
2025-01-08|       |                    |          0 $ |         0 km |           0 $ |     93 km
2025-01-10|       |                    |          0 $ |         0 km |           0 $ |    129 km
2025-01-11|       |                    |          0 $ |         0 km |           0 $ |    214 km
2025-01-13|       |                    |          0 $ |         0 km |           0 $ |    217 km
2025-01-14|       |                    |          0 $ |         0 km |           0 $ |    274 km
2025-01-15|       |                    |          0 $ |         0 km |           0 $ |    261 km
2025-01-25|       |                    |          0 $ |         0 km |           0 $ |    131 km
2025-01-27|       |                    |          0 $ |         0 km |           0 $ |    101 km
2025-01-29|       |                    |    116,674 $ |    40,985 km |         235 $ |     51 km
2025-01-30|       |                    |    116,774 $ |    41,020 km |          68 $ |     33 km
2025-01-31|       |                    |    115,430 $ |    41,222 km |         581 $ |    200 km

2025-02-01|       |                    |    115,430 $ |    41,353 km |      -2,273 $ |    137 km
2025-02-02|       |                    |    115,430 $ |    41,615 km |        -377 $ |    258 km
2025-02-03|       |                    |    115,370 $ |    41,669 km |         460 $ |     48 km
2025-02-04|       |                    |    118,532 $ |    41,792 km |       3,102 $ |    121 km
2025-02-05|       |                    |    121,468 $ |    41,963 km |       2,892 $ |    167 km
2025-02-06|       |                    |    121,891 $ |    42,035 km |           1 $ |     61 km
2025-02-07|       |                    |    121,013 $ |    42,134 km |      -1,285 $ |    100 km
2025-02-08|       |                    |    123,250 $ |    42,264 km |       2,123 $ |    127 km
2025-02-09|       |                    |    122,356 $ |    42,281 km |          90 $ |      7 km
2025-02-11|       |                    |    126,086 $ |    42,453 km |       1,691 $ |    170 km
2025-02-12|       |                    |    106,477 $ |    42,570 km |     -19,888 $ |    114 km
2025-02-13|       |                    |    139,149 $ |    42,671 km |      31,925 $ |    101 km
2025-02-15|       |                    |    143,346 $ |    42,901 km |       3,393 $ |    229 km
2025-02-16|       |                    |    144,110 $ |    43,027 km |          58 $ |    118 km
2025-02-18|       |                    |    148,761 $ |    43,067 km |       3,481 $ |     40 km
2025-02-19|       |                    |    149,287 $ |    43,080 km |         454 $ |      8 km
2025-02-20|       |                    |    149,022 $ |    43,147 km |        -896 $ |     37 km
2025-02-23|       |                    |    152,000 $ |    43,288 km |       2,323 $ |    141 km
2025-02-24|       |                    |    152,679 $ |    43,315 km |         463 $ |     26 km
2025-02-26|       |                    |    153,014 $ |    43,340 km |         229 $ |     19 km
2025-02-27|       |                    |    153,728 $ |    43,384 km |         646 $ |     44 km
2025-02-28|       |                    |    154,564 $ |    43,430 km |         685 $ |     39 km

2025-03-01|       |                    |    154,696 $ |    43,440 km |          94 $ |     10 km
2025-03-02|       |                    |    147,140 $ |    43,643 km |      -7,697 $ |    203 km
2025-03-04|       |                    |    144,969 $ |    43,682 km |      -2,127 $ |     38 km
2025-03-05|       |                    |    145,070 $ |    43,685 km |          31 $ |      2 km
2025-03-06|       |                    |    144,931 $ |    43,708 km |        -234 $ |     22 km
2025-03-07|       |                    |    143,311 $ |    43,752 km |      -1,573 $ |     42 km
2025-03-08|       |                    |    143,560 $ |    43,838 km |         187 $ |     86 km
2025-03-09|       |                    |    144,535 $ |    43,998 km |       1,037 $ |    149 km
2025-03-10|       |                    |    143,319 $ |    44,099 km |      -1,261 $ |    101 km
2025-03-11|       |                    |    143,491 $ |    44,173 km |         834 $ |     74 km
2025-03-12|       |                    |    144,235 $ |    44,245 km |         776 $ |     71 km
2025-03-13|       |                    |    144,777 $ |    44,247 km |          34 $ |      2 km
2025-03-14|       |                    |    146,210 $ |    44,323 km |         851 $ |     71 km
2025-03-16|       |                    |    148,165 $ |    44,421 km |       1,402 $ |     96 km
2025-03-17|       |                    |    148,382 $ |    44,441 km |         -88 $ |     19 km
2025-03-19|       |                    |    149,033 $ |    44,484 km |         206 $ |     41 km
2025-03-22|       |                    |    149,283 $ |    44,485 km |           9 $ |      1 km
2025-03-23|       |                    |    149,471 $ |    44,507 km |        -103 $ |     21 km
2025-03-25|       |                    |    150,481 $ |    44,544 km |         727 $ |     30 km
2025-03-28|       |                    |    150,951 $ |    44,548 km |         112 $ |      4 km
2025-03-29|       |                    |    151,117 $ |    44,624 km |      -1,275 $ |     75 km
2025-03-30|       |                    |    151,494 $ |    44,648 km |         349 $ |     19 km
2025-03-31|       |                    |    152,276 $ |    44,732 km |         739 $ |     82 km

2025-04-01|       |                    |    152,431 $ |    44,847 km |         143 $ |    115 km
2025-04-02|       |                    |    152,527 $ |    44,902 km |         323 $ |     53 km
2025-04-03|       |                    |    152,556 $ |    44,902 km |           0 $ |      0 km
2025-04-04|       |                    |    169,703 $ |    45,000 km |      17,147 $ |     98 km
2025-04-06|       |                    |    167,846 $ |    45,058 km |      -1,967 $ |     55 km
2025-04-09|       |                    |    168,309 $ |    45,058 km |           0 $ |      0 km
2025-04-12|       |                    |    169,004 $ |    45,109 km |         571 $ |     49 km
2025-04-13|       |                    |    169,132 $ |    45,209 km |         103 $ |     95 km
2025-04-16|       |                    |    169,021 $ |    45,233 km |        -209 $ |     24 km
2025-04-19|       |                    |    169,812 $ |    45,295 km |         662 $ |     56 km
2025-04-20|       |                    |    171,671 $ |    45,474 km |       1,859 $ |    179 km
2025-04-21|       |                    |    169,680 $ |    45,520 km |      -1,955 $ |     40 km
2025-04-23|       |                    |    170,049 $ |    45,557 km |          85 $ |      6 km
2025-04-24|       |                    |    170,326 $ |    45,577 km |         158 $ |     18 km
2025-04-27|       |                    |    169,533 $ |    45,645 km |      -1,202 $ |     63 km
2025-04-29|       |                    |    169,144 $ |    45,648 km |           0 $ |      0 km
2025-04-30|       |                    |    168,571 $ |    45,723 km |        -477 $ |     73 km

2025-05-01|       |                    |    166,132 $ |    45,880 km |      -2,525 $ |    155 km
2025-05-02|       |                    |    164,605 $ |    45,959 km |      -1,537 $ |     78 km
2025-05-03|       |                    |    164,497 $ |    45,976 km |         285 $ |     15 km
2025-05-04|       |                    |    167,554 $ |    46,142 km |       2,927 $ |    164 km
2025-05-06|       |                    |    169,039 $ |    46,219 km |         761 $ |     63 km
2025-05-14|       |                    |    171,589 $ |    46,340 km |           0 $ |      0 km
2025-05-16|       |                    |    171,871 $ |    46,343 km |          51 $ |      2 km
2025-05-18|       |                    |    172,895 $ |    46,423 km |         784 $ |     79 km
2025-05-19|       |                    |    160,400 $ |    46,521 km |     -12,470 $ |     94 km
2025-05-20|       |                    |    160,477 $ |    46,537 km |        -243 $ |     15 km
2025-05-21|       |                    |    156,822 $ |    46,629 km |      -3,659 $ |     92 km
2025-05-22|       |                    |    156,294 $ |    46,651 km |        -601 $ |     22 km
2025-05-23|       |                    |    156,361 $ |    46,687 km |         -46 $ |     36 km
2025-05-25|       |                    |    154,025 $ |    46,774 km |      -2,604 $ |     86 km
2025-05-27|       |                    |    154,025 $ |    46,774 km |           0 $ |      0 km
2025-05-28|       |                    |    154,126 $ |    46,778 km |         101 $ |      4 km
2025-05-29|       |                    |    154,147 $ |    46,802 km |          13 $ |     22 km
2025-05-30|       |                    |    155,051 $ |    46,837 km |         362 $ |     21 km
2025-05-31|       |                    |    156,095 $ |    46,862 km |       1,044 $ |     25 km

2025-06-01|       |                    |    157,323 $ |    46,974 km |         980 $ |    111 km
2025-06-02|       |                    |    156,827 $ |    47,015 km |        -494 $ |     36 km
2025-06-04|       |                    |    157,298 $ |    47,015 km |           5 $ |      0 km
2025-06-08|       |                    |    158,319 $ |    47,060 km |         164 $ |     43 km
2025-06-10|       |                    |    159,956 $ |    47,263 km |          25 $ |      0 km
2025-06-11|       |                    |    160,539 $ |    47,266 km |          43 $ |      3 km
2025-06-14|       |                    |    162,587 $ |    47,305 km |          16 $ |      2 km
2025-06-15|       |                    |    163,793 $ |    47,443 km |         237 $ |    138 km
2025-06-16|       |                    |    163,848 $ |    47,443 km |           0 $ |      0 km
2025-06-17|       |                    |    163,792 $ |    47,460 km |         -29 $ |     15 km
2025-06-18|       |                    |    164,073 $ |    47,476 km |         296 $ |     14 km
2025-06-19|       |                    |    164,104 $ |    47,498 km |          27 $ |     18 km
2025-06-20|       |                    |    164,296 $ |    47,514 km |        -236 $ |     13 km
2025-06-21|       |                    |    159,172 $ |    47,600 km |      -4,935 $ |     84 km
2025-06-22|       |                    |    159,264 $ |    47,728 km |          91 $ |    128 km
2025-06-24|       |                    |    161,100 $ |    48,048 km |       1,798 $ |     98 km
2025-06-25|       |                    |    162,451 $ |    48,199 km |       1,334 $ |    150 km
2025-06-26|       |                    |    164,960 $ |    48,358 km |       1,753 $ |    159 km
2025-06-27|       |                    |    164,903 $ |    48,404 km |        -166 $ |     45 km
2025-06-28|       |                    |    165,866 $ |    48,475 km |         457 $ |     71 km
2025-06-29|       |                    |    158,795 $ |    48,590 km |      -7,039 $ |    113 km

2025-07-01|       |                    |    159,059 $ |    48,593 km |           0 $ |      0 km
2025-07-04|       |                    |    158,658 $ |    48,680 km |        -533 $ |     87 km
2025-07-05|       |                    |    158,789 $ |    48,687 km |          42 $ |      7 km
2025-07-06|       |                    |    160,669 $ |    48,776 km |       1,665 $ |     88 km
2025-07-07|       |                    |    161,025 $ |    48,797 km |         354 $ |     20 km
2025-07-08|       |                    |    160,628 $ |    48,833 km |        -718 $ |     30 km
2025-07-09|       |                    |    160,603 $ |    48,849 km |        -237 $ |     16 km
2025-07-10|       |                    |    161,187 $ |    48,872 km |         534 $ |     20 km
2025-07-11|       |                    |    160,359 $ |    48,878 km |        -775 $ |      5 km
2025-07-12|       |                    |    160,190 $ |    48,891 km |        -260 $ |      9 km
2025-07-13|       |                    |    161,024 $ |    48,955 km |         826 $ |     64 km
2025-07-15|       |                    |    157,772 $ |    48,999 km |        -169 $ |      9 km
2025-07-19|       |                    |    157,536 $ |    49,117 km |         779 $ |     54 km
2025-07-20|       |                    |    155,280 $ |    49,248 km |      -2,690 $ |    130 km
2025-07-21|       |                    |    154,779 $ |    49,402 km |      -1,292 $ |    152 km
2025-07-22|       |                    |    155,464 $ |    49,420 km |          17 $ |     17 km
2025-07-23|       |                    |    156,515 $ |    49,446 km |        -104 $ |     25 km
2025-07-24|       |                    |    156,864 $ |    49,549 km |        -603 $ |    100 km

2025-08-17|       |                    |    167,588 $ |    49,623 km |       1,000 $ |     74 km
2025-08-19|       |                    |    168,023 $ |    49,640 km |         239 $ |     10 km
2025-08-24|       |                    |    168,480 $ |    49,663 km |         449 $ |     23 km
2025-08-28|       |                    |    167,692 $ |    49,698 km |        -395 $ |     34 km
2025-08-30|       |                    |    169,645 $ |    50,047 km |       1,705 $ |    305 km
2025-08-31|       |                    |    169,645 $ |    50,047 km |           0 $ |      0 km

2025-09-02|       |                    |    164,400 $ |    50,249 km |      -4,473 $ |     77 km
2025-09-04|       |                    |    164,931 $ |    50,287 km |         510 $ |     38 km
2025-09-05|       |                    |    165,372 $ |    50,352 km |         415 $ |     64 km
2025-09-06|       |                    |    165,468 $ |    50,357 km |          62 $ |      3 km
2025-09-07|       |                    |    165,682 $ |    50,392 km |         185 $ |     35 km
2025-09-08|       |                    |    165,759 $ |    50,400 km |          66 $ |      7 km
2025-09-09|       |                    |    165,850 $ |    50,403 km |           0 $ |      0 km
2025-09-10|       |                    |    165,441 $ |    50,455 km |        -369 $ |     51 km
2025-09-11|       |                    |    165,426 $ |    50,457 km |          17 $ |      2 km
2025-09-12|       |                    |    165,134 $ |    50,481 km |        -292 $ |     24 km
2025-09-14|       |                    |    164,988 $ |    50,550 km |         -37 $ |     69 km
2025-09-20|       |                    |    165,418 $ |    50,606 km |         307 $ |     56 km
2025-09-21|       |                    |    165,259 $ |    50,626 km |        -201 $ |     16 km
2025-09-22|       |                    |    165,475 $ |    50,633 km |         202 $ |      6 km
2025-09-23|       |                    |    165,435 $ |    50,654 km |         -40 $ |     21 km
2025-09-27|       |                    |    166,312 $ |    50,728 km |         838 $ |     71 km
2025-09-28|       |                    |    166,992 $ |    50,777 km |         786 $ |     45 km
2025-09-29|       |                    |    167,140 $ |    50,785 km |         129 $ |      8 km
2025-09-30|       |                    |    167,157 $ |    50,785 km |           0 $ |      0 km

2025-10-02|       |                    |    167,489 $ |    50,786 km |           0 $ |      0 km
2025-10-03|       |                    |    167,559 $ |    50,786 km |           0 $ |      0 km
2025-10-05|       |                    |    169,011 $ |    50,938 km |       1,423 $ |    151 km
2025-10-08|       |                    |    170,351 $ |    51,021 km |       1,299 $ |     83 km
2025-10-10|       |                    |    170,806 $ |    51,089 km |         521 $ |     67 km
2025-10-11|       |                    |    170,704 $ |    51,117 km |         -80 $ |     25 km
2025-10-14|       |                    |    170,884 $ |    51,137 km |         110 $ |     18 km
2025-10-16|       |                    |    171,064 $ |    51,156 km |         151 $ |     18 km
2025-10-17|       |                    |    172,380 $ |    51,233 km |       1,314 $ |     77 km
2025-10-18|       |                    |    173,074 $ |    51,325 km |         694 $ |     92 km
2025-10-19|       |                    |    167,489 $ |    51,440 km |      -4,763 $ |    114 km
2025-10-21|       |                    |    167,493 $ |    51,451 km |           4 $ |     11 km
2025-10-22|       |                    |    167,297 $ |    51,491 km |        -198 $ |     40 km
2025-10-27|       |                    |    161,292 $ |    51,771 km |        -677 $ |     81 km
2025-10-28|       |                    |    160,158 $ |    51,962 km |        -488 $ |    186 km
2025-10-29|       |                    |    160,245 $ |    52,060 km |         100 $ |     97 km
2025-10-30|       |                    |    160,729 $ |    52,087 km |         225 $ |     25 km
2025-10-31|       |                    |    159,658 $ |    52,095 km |      -1,091 $ |      7 km

2025-11-01|       |                    |    160,640 $ |    52,288 km |         969 $ |    191 km
2025-11-02|       |                    |    154,251 $ |    52,463 km |      -5,396 $ |    166 km
2025-11-03|       |                    |    152,693 $ |    52,498 km |        -749 $ |     33 km
2025-11-04|       |                    |    151,956 $ |    52,570 km |        -737 $ |     72 km
2025-11-07|       |                    |    151,989 $ |    52,585 km |          33 $ |     15 km
2025-11-09|       |                    |    154,760 $ |    52,856 km |       2,584 $ |    206 km
2025-11-10|       |                    |    155,057 $ |    52,881 km |         265 $ |     24 km
2025-11-11|       |                    |    155,733 $ |    52,896 km |         669 $ |     14 km
2025-11-13|       |                    |    142,969 $ |    52,984 km |     -12,770 $ |     88 km
2025-11-14|       |                    |    143,360 $ |    53,008 km |         369 $ |     23 km
2025-11-16|       |                    |    146,795 $ |    53,195 km |       3,044 $ |    187 km
2025-11-17|       |                    |    146,777 $ |    53,231 km |         498 $ |     32 km
2025-11-18|       |                    |    146,860 $ |    53,291 km |         103 $ |     59 km
2025-11-20|       |                    |    147,279 $ |    53,327 km |         289 $ |     20 km
2025-11-30|       |                    |    145,011 $ |    54,058 km |      -1,685 $ |    120 km

2025-12-01|       |                    |    145,166 $ |    54,058 km |           0 $ |      0 km
2025-12-02|       |                    |    146,122 $ |    54,063 km |         306 $ |      5 km
2025-12-03|       |                    |    147,930 $ |    54,120 km |       1,742 $ |     56 km
2025-12-04|       |                    |    148,891 $ |    54,162 km |         935 $ |     42 km
2025-12-05|       |                    |    152,188 $ |    54,239 km |       3,012 $ |     76 km
2025-12-06|       |                    |    153,173 $ |    54,373 km |         953 $ |    132 km
